w,y,square_meters,bathrooms_number,lift,rooms_number,other_features,total_floors_in_building,car_parking,availability,condominium_fees,year_of_construction,conditions,zone,floor,heating_centralized,energy_efficiency_class
1,178000,70,1,yes,2,balcony | cellar | shared garden,6,1 in shared parking,NA,200,1965,good condition / liveable,quartiere olmi,3,central,g
1,324000,59,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | closet | full day concierge | centralized tv system | shared garden | window frames in double glass / metal,7,1 in garage/box,available,200,1970,excellent / refurbished,famagosta,4,central,e
1,1110000,130,2,yes,4,security door | balcony | cellar,6,no,available,No condominium fees,NA,new / under construction,pagano,2,central,g
1,335000,75,1,yes,3,security door | balcony | full day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure,8,no,available,217,1970,excellent / refurbished,tre castelli - faenza,1,central,g
1,208000,65,1,no,2,balcony | shared garden,4,no,available,150,NA,good condition / liveable,crescenzago,2,central,g
1,525000,133,2,no,3,electric gate | optic fiber | video entryphone | security door | centralized tv system | partially furnished | shared garden | window frames in double glass / metal | double exposure,3,1 in garage/box,NA,42,NA,excellent / refurbished,viale ungheria - mecenate,ground floor,independent,b
1,355000,68,1,no,2,electric gate | optic fiber | video entryphone | security door | internal exposure | closet | terrace | centralized tv system | window frames in double glass / pvc,1 floor,no,available,10,2024,excellent / refurbished,cascina dei pomi,1,independent,a
1,159000,68,1,no,2,external exposure | balcony | single tv system,4,no,available,150,NA,good condition / liveable,san siro,mezzanine,central,g
1,1250000,130,2,yes,4,optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood,5,no,available,600,1945,to be refurbished,san vittore,1,central,e
1,210000,87,1,yes,3,electric gate | security door | internal exposure | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvc,6,no,NA,167,1970,good condition / liveable,baggio,mezzanine,central,d
1,350000,40,1,yes,2,tavern | optic fiber | security door | internal exposure | closet | centralized tv system | cellar | private garden | window frames in glass / pvc,3,no,available,167,1920,to be refurbished,isola,ground floor,independent,g
1,340000,90,1,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure,8,no,available,167,1985,excellent / refurbished,tre castelli - faenza,7,independent,NA
1,730400,158,2,yes,4,electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,6,no,available,No condominium fees,2026,new / under construction,cantalupa - san paolo,5,central,a
1,345000,112,2,yes,4,optic fiber | video entryphone | alarm system | balcony | furnished | cellar | window frames in double glass / wood,6,no,available,NA,1950,good condition / liveable,corvetto,4,central,NA
1,199000,75,1,yes,2,electric gate | optic fiber | video entryphone | balcony | full day concierge | centralized tv system | cellar,7,no,available,208,1963,good condition / liveable,gallaratese,1,central,e
1,250000,51,1,no,2,"kitchen | furnished | cellar | shared garden | exposure north, south",3,no,available,70,NA,excellent / refurbished,bruzzano,1,independent,d
1,816000,110,2,yes,4,security door | balcony | cellar,8,no,available,No condominium fees,NA,new / under construction,indipendenza,1,central,g
1,220000,75,1,yes,2,video entryphone | balcony | full day concierge | cellar,6,no,NA,208,NA,good condition / liveable,bisceglie,4,central,g
1,365000,117,2,yes,3,terrace | single tv system | cellar | private garden,2,1 in garage/box,available,No condominium fees,NA,new / under construction,quinto romano,ground floor,independent,a
1,1700000,185,3,yes,4,optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc,7,"1 in garage/box, 1 in shared parking",NA,600,1970,excellent / refurbished,amendola - buonarroti,3,central,g
1,450000,100,1,yes,3,electric gate | attic | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / wood | double exposure,3,1 in garage/box,available,300,1970,good condition / liveable,qt8,1,central,f
1,1180000,180,3,yes,5,video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / metal,6,no,available,642,1960,excellent / refurbished,città studi,4,central,f
1,240000,114,2,no,3,security door | balcony | single tv system | cellar | private garden | window frames in double glass / pvcdouble exposure,1 floor,"1 in garage/box, 1 in shared parking",NA,No condominium fees,1930,good condition / liveable,baggio,1,independent,g
1,640000,100,2,yes,3,fireplace | optic fiber | security door | closet | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,5,no,NA,200,1920,to be refurbished,porta venezia,5,central,f
1,470000,270,1,no,5,electric gate | optic fiber | video entryphone | alarm system | internal exposure | centralized tv system | window frames in double glass / metal,1 floor,no,available,180,2004,excellent / refurbished,dergano,ground floor,independent,d
1,790000,162,2,yes,4,hydromassage | optic fiber | video entryphone | alarm system | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure,8,no,available,380,1962,excellent / refurbished,pasteur,1,central,e
1,370000,94,2,yes,3,optic fiber | video entryphone | security door | external exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / pvc,7,no,available,NA,2024,new / under construction,viale ungheria - mecenate,2,central,a
1,379500,65,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in double glass / metal,23,no,available,NA,2027,new / under construction,cascina merlata - musocco,5,central,NA
1,425900,61,1,yes,2,optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | window frames in double glass / wood,5,no,NA,No condominium fees,1920,excellent / refurbished,porta romana - medaglie d'oro,2,independent,g
1,625000,90,1,yes,3,security door | balcony | half-day concierge | centralized tv system | window frames in double glass / metal | double exposure,4,no,available,267,1910,good condition / liveable,città studi,4,central,g
1,259000,64,1,yes,2,electric gate | optic fiber | security door | internal exposure | closet | centralized tv system | cellar | window frames in double glass / metal,2,no,available,35,2009,excellent / refurbished,dergano,mezzanine,independent,e
1,359000,50,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc,8,no,available,150,1960,new / under construction,porta romana - medaglie d'oro,ground floor,central,d
1,399000,122,2,yes,3,tennis court | video entryphone | security door | balcony | terrace | partially furnished | cellar | window frames in double glass / pvcdouble exposure,5,1 in garage/box,available,180,2006,excellent / refurbished,niguarda,4,independent,d
1,198000,55,1,yes,1,video entryphone | security door | external exposure | centralized tv system | window frames in double glass / metal,4,no,available,133,1970,good condition / liveable,bovisa,2,central,f
1,620000,95,1,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,5,1 in garage/box,available,140,1950,to be refurbished,porta romana - medaglie d'oro,2,independent,g
1,249000,60,2,no,3,video entryphone | security door | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,5,no,available,78,1965,excellent / refurbished,cimiano,semi-basement,central,g
1,415000,115,2,NA,4,electric gate | video entryphone | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,6,1 in garage/box,NA,133,2001,good condition / liveable,quartiere adriano,2,independent,d
1,830000,135,1,no,3,tavern | terrace | centralized tv system | cellar | window frames in glass / wood | double exposure,3,no,available,300,1900,to be refurbished,arco della pace,mezzanine,independent,g
1,845000,140,3,yes,5,alarm system | kitchen | partially furnished | window frames in glass / metal,3,no,available,350,1930,excellent / refurbished,corso genova,ground floor,central,g
1,470000,56,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | closet | balcony | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal,7,1 in garage/box,available,101,NA,excellent / refurbished,piave - tricolore,4,independent,b
1,395000,50,1,yes,2,centralized tv system | shared garden | window frames in double glass / wood | double exposure,4,no,available,60,1930,excellent / refurbished,porta venezia,1,independent,g
1,780000,130,1,yes,4,security door | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,5,no,NA,375,1930,to be refurbished,dezza,mezzanine,central,f
1,269000,70,1,yes,2,video entryphone | security door | balcony | full day concierge | double exposure,7,no,NA,200,1960,excellent / refurbished,piazzale siena,4,central,g
1,85000,28,1,no,1,optic fiber | internal exposure,4,no,available,50,1930,good condition / liveable,parco trotter,4,independent,g
1,470000,90,2,yes,3,electric gate | attic | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | window frames in double glass / pvc,6,no,available,300,1970,excellent / refurbished,pezzotti - meda,1,central,e
1,460000,80,2,no,2,attic | optic fiber | security door | internal exposure | closet | balcony | single tv system | partially furnished | window frames in double glass / wood,2,no,available,66,1940,excellent / refurbished,cadore,1,independent,f
1,1017000,140,2,yes,5,security door | balcony | full day concierge | cellar,5,no,available,No condominium fees,NA,new / under construction,repubblica,3,central,g
1,570000,159,2,yes,4,electric gate | attic | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | cellar | shared garden | window frames in triple glass / pvcdouble exposure,3,1 in garage/box,available,200,2024,new / under construction,quinto romano,2,independent,a
1,249000,60,1,yes,2,electric gate | optic fiber | security door | external exposure | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvc,5,no,available,200,1960,excellent / refurbished,molise - cuoco,4,central,f
1,169000,45,1,no,1,optic fiber | security door | terrace | partially furnished | double exposure,3,no,available,No condominium fees,1900,good condition / liveable,pasteur,3,central,f
1,645000,110,2,yes,3,optic fiber | video entryphone | security door | terrace | centralized tv system | cellar | window frames in double glass / wood | double exposure,4,no,available,83,NA,good condition / liveable,navigli - darsena,1,independent,NA
1,980000,232,3+,yes,5,optic fiber | closet | balcony | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure,5,"1 in garage/box, 1 in shared parking",available,200,1979,excellent / refurbished,san siro,3,independent,c
1,95000,41,1,no,1,security door | shared garden | window frames in double glass / pvc,3,no,available,100,1960,excellent / refurbished,roserio,mezzanine,central,e
1,220000,60,1,yes,2,electric gate | optic fiber | security door | centralized tv system | partially furnished | shared garden | window frames in glass / metal | double exposure,4,no,available,25,1960,excellent / refurbished,cermenate - abbiategrasso,semi-basement,independent,NA
1,270000,77,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | private garden | window frames in triple glass / pvcdouble exposure,3,1 in garage/box,available,150,2024,new / under construction,quinto romano,ground floor,independent,a
1,299000,91,1,no,2,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | cellar | window frames in double glass / metal,2,no,available,93,1950,good condition / liveable,san siro,1,independent,g
1,890000,172,2,yes,5,optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,6,no,available,500,1961,to be refurbished,centrale,5,central,g
1,255000,60,1,yes,2,security door | external exposure | balcony | half-day concierge | centralized tv system | window frames in double glass / pvc,5,no,available,150,1960,good condition / liveable,greco - segnano,2,central,f
1,159000,73,1,yes,2,external exposure | balcony | terrace | single tv system | cellar | window frames in glass / wood,4,no,NA,233,1960,to be refurbished,baggio,1,central,g
1,365000,65,1,yes,3,electric gate | optic fiber | video entryphone | security door | half-day concierge | centralized tv system | shared garden | window frames in glass / wood | double exposure,4,no,available,NA,1950,good condition / liveable,gambara,4,independent,NA
1,209000,54,1,yes,2,internal exposure | centralized tv system | cellar | window frames in double glass / metal,6,no,available,138,1960,good condition / liveable,niguarda,6,central,g
1,285000,106,1,no,4,security door | balcony | single tv system | cellar | window frames in glass / wood | double exposure,4,"1 in garage/box, 1 in shared parking",available,208,1970,to be refurbished,ortica,1,central,g
1,265000,85,1,no,2,optic fiber | video entryphone | security door | centralized tv system | window frames in double glass / pvcdouble exposure,2,no,available,100,1960,excellent / refurbished,rogoredo,mezzanine,central,d
1,1690000,168,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,8,no,available,700,2023,new / under construction,san vittore,5,central,NA
1,909000,115,2,yes,3,security door | balcony,4,no,available,No condominium fees,NA,new / under construction,buenos aires,3,central,g
1,590000,140,2,yes,4,electric gate | video entryphone | alarm system | security door | internal exposure | balcony | terrace | centralized tv system | cellar | window frames in double glass / wood,14,no,available,NA,2012,excellent / refurbished,bignami - ponale,1,central,b
1,715000,80,1,yes,3,optic fiber | video entryphone | alarm system | security door | external exposure | closet | full day concierge | centralized tv system | window frames in double glass / pvc,6,no,available,220,1960,excellent / refurbished,san vittore,mezzanine,central,e
1,242000,90,1,yes,3,electric gate | optic fiber | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,14,1 in garage/box,NA,250,1970,good condition / liveable,gallaratese,1,central,e
1,185000,38,1,no,2,optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc,3,no,available,100,1960,good condition / liveable,certosa,mezzanine,central,NA
1,385000,65,1,yes,2,"balcony | furnished | window frames in double glass / pvcexposure east, west",8,no,available,188,1960,excellent / refurbished,tripoli - soderini,8,central,g
1,269000,80,1,yes,2,optic fiber | security door | internal exposure | full day concierge | single tv system | cellar | shared garden | window frames in triple glass / pvc,7,1 in garage/box,available,No condominium fees,2023,excellent / refurbished,bologna - sulmona,7,central,g
1,300000,107,2,yes,4,electric gate | optic fiber | internal exposure | closet | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal,7,1 in shared parking,available,260,1970,good condition / liveable,gallaratese,1,central,e
1,299000,80,1,no,3,optic fiber | security door | balcony | centralized tv system | partially furnished | window frames in double glass / metal | double exposure,4,no,available,250,1950,good condition / liveable,lodi - brenta,3,central,e
1,299800,47,1,yes,2,optic fiber | video entryphone | security door | centralized tv system | furnished | shared garden | window frames in double glass / wood | double exposure,2,no,available,NA,2016,excellent / refurbished,lodi - brenta,1,independent,b
1,369000,58,1,no,2,optic fiber | security door | centralized tv system | window frames in double glass / pvc,5,no,available,208,2023,new / under construction,porta romana - medaglie d'oro,ground floor,central,c
1,342000,85,1,yes,3,electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvc,8,no,available,180,1960,excellent / refurbished,tre castelli - faenza,1,central,g
1,365000,65,2,yes,3,electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | centralized tv system | partially furnished | window frames in glass / pvc,8,no,available,270,1980,excellent / refurbished,corvetto,2,central,c
1,375000,120,2,yes,3,electric gate | optic fiber | video entryphone | security door | external exposure | closet | centralized tv system | partially furnished | cellar | window frames in double glass / wood,3,1 in garage/box,available,280,1955,excellent / refurbished,ghisolfa - mac mahon,ground floor,central,f
1,245000,70,1,no,2,electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,1 floor,no,available,NA,2024,new / under construction,tre castelli - faenza,1,independent,NA
1,634000,96,1,yes,3,optic fiber | video entryphone | alarm system | security door | terrace | cellar | shared garden | window frames in double glass / wood,7,1 in garage/box,NA,133,2010,excellent / refurbished,lodi - brenta,1,independent,b
1,950000,150,2,yes,3,optic fiber | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in glass / wood | double exposure,8,1 in garage/box,available,370,1970,excellent / refurbished,gambara,7,central,f
1,246000,45,1,no,2,electric gate | optic fiber | security door | external exposure | half-day concierge | centralized tv system | cellar | window frames in double glass / pvc,5,no,available,125,1930,excellent / refurbished,parco trotter,2,independent,d
1,335000,74,1,yes,2,security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,6,no,available,250,1960,good condition / liveable,udine,2,central,g
1,355000,86,1,no,3,video entryphone | security door | centralized tv system | furnished | cellar | window frames in double glass / pvc,2,no,available,208,1960,excellent / refurbished,precotto,1,central,NA
1,262000,40,1,yes,1,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | window frames in triple glass / wood,1 floor,2 in garage/box,available,150,2023,new / under construction,monte rosa - lotto,1,independent,a
1,219000,48,1,no,2,optic fiber | video entryphone | security door | internal exposure | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc,4,1 in shared parking,available,110,1970,excellent / refurbished,villa san giovanni,1,central,f
1,264000,95,2,yes,3,electric gate | optic fiber | security door | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in glass / metal | double exposure,8,1 in garage/box,NA,160,1980,good condition / liveable,cantalupa - san paolo,6,central,g
1,695000,149,2,yes,4,security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure,6,1 in garage/box,available,362,1970,good condition / liveable,udine,5,central,f
1,1350000,160,2,yes,4,hydromassage | electric gate | security door | closet | balcony | full day concierge | partially furnished | cellar | window frames in double glass / pvcdouble exposure,8,1 in garage/box,available,400,NA,excellent / refurbished,dezza,2,central,NA
1,107000,30,1,no,1,NA,2,no,NA,50,1950,to be refurbished,ortica,1,central,g
1,400000,65,1,yes,2,electric gate | optic fiber | video entryphone | security door | closet | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,4,no,available from 15/06/2024,111,1900,excellent / refurbished,isola,ground floor,independent,g
1,760000,100,2,yes,3,security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,6,no,available,200,1900,excellent / refurbished,sempione,1,central,e
1,349000,50,1,yes,2,electric gate | fireplace | optic fiber | security door | balcony | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure,4,no,available,85,1800,excellent / refurbished,corso san gottardo,1,independent,e
1,459000,67,1,yes,3,optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / metal,8,no,available,175,1970,good condition / liveable,lodi - brenta,4,central,f
1,1350000,165,3,yes,5+,electric gate | optic fiber | video entryphone | security door | balcony | terrace | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,4,1 in garage/box,available,450,1970,good condition / liveable,montenero,2,central,e
1,1900000,700,3+,no,5+,hydromassage | electric gate | fireplace | tavern | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | single tv system | cellar | private garden | window frames in glass / metal | double exposure,1 floor,"2 in garage/box, 1 in shared parking",available,200,1972,good condition / liveable,gallaratese,ground floor,independent,f
1,230000,49,1,yes,2,electric gate | optic fiber | security door | internal exposure | cellar | window frames in double glass / pvc,4,no,available,80,1960,excellent / refurbished,certosa,4,central,NA
1,1980000,255,3,yes,4,electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | cellar | window frames in double glass / wood,5,no,NA,1665,1968,excellent / refurbished,arco della pace,4,central,NA
1,198000,50,1,no,2,electric gate | optic fiber | video entryphone | security door | closet | centralized tv system | furnished | cellar | shared garden | window frames in double glass / metal | double exposure,4,no,available,NA,1960,good condition / liveable,turro,1,independent,g
1,340000,48,1,no,2,electric gate | optic fiber | video entryphone | security door | closet | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,6,no,available,100,1900,excellent / refurbished,cadore,2,independent,f
1,360000,41,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | balcony | half-day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / pvc,5,no,available,160,1930,excellent / refurbished,indipendenza,2,independent,NA
1,415000,50,1,no,2,optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / pvc,4,no,available,100,1900,excellent / refurbished,turati,1,independent,g
1,315000,115,1,yes,3,optic fiber | security door | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,5,no,available,NA,1960,excellent / refurbished,chiesa rossa,1,central,NA
1,795000,150,2,yes,4,electric gate | optic fiber | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | double exposure,7,1 in garage/box,available,500,1976,to be refurbished,bande nere,6,central,g
1,458000,64,1,yes,2,electric gate | optic fiber | video entryphone | security door | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure,4,no,available,150,1975,excellent / refurbished,amendola - buonarroti,ground floor,central,e
1,490500,112,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | centralized tv system | cellar | private garden | window frames in glass / pvc,7,1 in garage/box,available,NA,2025,new / under construction,quartiere forlanini,ground floor,independent,a
1,759000,139,3,yes,4,electric gate | video entryphone | security door | terrace | centralized tv system | window frames in glass / pvc,6,no,NA,NA,2024,new / under construction,bisceglie,1,central,a
1,619000,77,1,yes,3,video entryphone | security door | window frames in triple glass / metal | double exposure,2,no,available,80,2024,new / under construction,sempione,2,independent,a
1,177000,35,1,yes,1,security door | internal exposure | centralized tv system | furnished | window frames in double glass / pvc,5,no,available,150,1960,excellent / refurbished,gambara,semi-basement,central,d
1,435000,43,1,yes,2,optic fiber | security door | external exposure | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc,10,no,available,150,1970,excellent / refurbished,repubblica,mezzanine,central,f
1,370000,50,1,yes,2,electric gate | video entryphone | security door | terrace | window frames in double glass / metal | double exposure,3,no,available,NA,2023,new / under construction,dergano,3,independent,a
1,450000,70,1,yes,2,security door | centralized tv system | shared garden | window frames in glass / wood | double exposure,3,no,available,125,1900,good condition / liveable,corso san gottardo,2,independent,g
1,305000,43,1,no,2,video entryphone | full day concierge | furnished | shared garden,3,no,available,No condominium fees,1990,excellent / refurbished,san siro,ground floor,central,b
1,837000,105,2,yes,3,security door | balcony | cellar,5,no,available,No condominium fees,NA,new / under construction,isola,1,central,g
1,345000,100,1,yes,3,electric gate | optic fiber | alarm system | security door | external exposure | closet | balcony | centralized tv system | window frames in double glass / metal,6,no,available,115,1960,good condition / liveable,certosa,2,independent,d
1,99000,35,1,yes,1,optic fiber | alarm system | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc,4,no,NA,125,1970,good condition / liveable,ponte nuovo,3,central,c
1,430000,152,3,yes,4,video entryphone | security door | internal exposure | balcony | terrace | centralized tv system | cellar | shared garden | window frames in double glass / metal,7,no,available,NA,2021,new / under construction,san vittore,4,central,a
1,360000,80,1,yes,2,fireplace | security door | external exposure | balcony | terrace | full day concierge | furnished | window frames in double glass / wood,8,no,available,200,1950,good condition / liveable,giambellino,8,central,g
1,265000,76,1,yes,2,electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,6,no,available,122,1960,good condition / liveable,turro,6,central,g
1,230000,50,1,yes,2,electric gate | optic fiber | internal exposure | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / wood,8,no,available,150,1965,to be refurbished,san siro,2,central,g
1,1180000,95,1,yes,3,electric gate | optic fiber | security door | terrace | half-day concierge | centralized tv system | cellar | window frames in double glass / metal | double exposure,5,no,available,3500,1950,excellent / refurbished,borgogna - largo augusto,2,central,e
1,310000,93,2,yes,3,balcony | terrace | single tv system | cellar,2,1 in garage/box,available,No condominium fees,NA,new / under construction,quinto romano,2,independent,a
1,1040000,136,2,yes,3,electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | full day concierge | centralized tv system | window frames in double glass / pvc,6,no,available from 31/12/2024,400,1960,good condition / liveable,cenisio,4,central,g
